"ISO
country code",Country,World region,MPI data source,Year,Multidimensional poverty,"Headcount ratio: Population in multidimensional poverty
(H)","Intensity of deprivation among the poor
(A) ",Population: Vulnerable to poverty (who experience 20-33.32% intensity of deprivations) ,Population: In severe poverty (with intensity higher than 50%) ,Population: Destitutes,Proportion of MPI poor who are destitutes,Inequality among the poor,"Year 
of the surveya","Population 
2013a","Population 
2014a","MPI_poor: Year 
of the surveyb",MPI_poor: Population 2013b,Total number of indicators included (out of ten),Indicator(s) missing
KAZ,Kazakhstan,Europe and Central Asia,MICS,2015,0,0.1,33.3,0.8,0,0,0,0,17750.00,"17,207","17,488",12,11,10,None
SRB,Serbia,Europe and Central Asia,MICS,2014,0.001,0.2,40.5,2.8,0.1,0,11.7,0.074,8885.00,"8,920","8,885",21,21,10,None
TKM,Turkmenistan,Europe and Central Asia,MICS,2015/16,0.001,0.3,34.1,2.1,0,0.1,31.3,0.003,5565.00,"5,366","5,466",19,18,10,None
ARM,Armenia,Europe and Central Asia,DHS,2015/16,0.001,0.3,34.8,2.3,0,0,11.7,0.005,2917.00,"2,894","2,906",10,10,10,None
MNE,Montenegro,Europe and Central Asia,MICS,2013,0.001,0.3,46.4,3.3,0.1,0.1,24.4,0.119,627.00,627,628,2,2,10,None
KGZ,Kyrgyzstan,Europe and Central Asia,MICS,2014,0.002,0.5,37.3,5.3,0.1,0.1,25.8,0.046,5775.00,"5,684","5,775",29,29,10,None
BIH,Bosnia and Herzegovina,Europe and Central Asia,MICS,2011/12,0.002,0.5,37.3,3.9,0,0.3,63,0.01,3689.00,"3,605","3,566",19,19,9,Child Mortality
MKD,"Macedonia, The former Yugoslav Republic of",Europe and Central Asia,MICS,2011,0.002,0.7,35.7,2.8,0,0.1,9,0.01,2072.00,"2,076","2,077",14,14,9,Child Mortality
MDA,"Moldova, Republic of",Europe and Central Asia,MICS,2012,0.003,0.8,35.9,4.2,0,0,5.2,0.025,4074.00,"4,072","4,070",31,31,10,None
BRB,Barbados,Latin America and Caribbean,MICS,2012,0.003,0.9,34.2,0.1,0,0.3,38.4,0.004,282.00,283,283,3,3,9,Child Mortality
THA,Thailand,East Asia and the Pacific,MICS,2012,0.003,0.9,36.7,7.3,0,0.1,11.5,0.024,67844.00,"68,143","68,417",597,600,10,None
LCA,Saint Lucia,Latin America and Caribbean,MICS,2012,0.003,1,35.4,0.9,0,0,2.7,0.006,175.00,176,176,2,2,9,Child Mortality
PSE,"Palestine, State of",Arab States,MICS,2014,0.004,1.1,38,6.2,0,0,4,0.021,4537.00,"4,415","4,537",49,48,10,None
UKR,Ukraine,Europe and Central Asia,MICS,2012,0.004,1.2,34.8,0.3,0,0.1,4.4,0.01,45349.00,"45,116","44,883",552,550,9,Nutrition
TUN,Tunisia,Arab States,MICS,2011/12,0.004,1.2,38.5,3.3,0.1,0.3,22.1,0.03,10761.00,"11,015","11,144",125,128,10,None
MEX,Mexico,Latin America and Caribbean,MICS,2015,0.005,1.2,40,3.7,0.2,0.2,17.6,0.064,125891.00,"122,536","124,222","1,518","1,478",10,None
ALB,Albania,Europe and Central Asia,DHS,2008/09,0.005,1.4,37.7,7.4,0.1,0.3,19,0.021,2992.00,"2,919","2,921",41,40,10,None
LBY,Libya,Arab States,PAPFAM,2007,0.006,1.5,37,3.9,0.1,0.2,10.2,0.041,5970.00,"6,196","6,204",90,93,10,None
